date,open,high,low,close,volume,timestamp
2019-10-29,396.0000,400.0000,394.0000,394.0000,2435200,1572282000000
2019-10-28,398.0000,402.0000,394.0000,394.0000,2722700,1572195600000
2019-10-25,390.0000,412.0000,390.0000,398.0000,8547800,1571936400000
2019-10-24,390.0000,412.0000,390.0000,404.0000,23699200,1571850000000
2019-10-23,392.0000,394.0000,388.0000,390.0000,3896600,1571763600000
2019-10-22,392.0000,396.0000,388.0000,390.0000,3981600,1571677200000
2019-10-21,404.0000,408.0000,390.0000,394.0000,17894900,1571590800000
2019-10-18,398.0000,406.0000,396.0000,402.0000,31451600,1571331600000
2019-10-17,390.0000,400.0000,388.0000,394.0000,6647800,1571245200000
2019-10-16,388.0000,394.0000,386.0000,390.0000,3209300,1571158800000
2019-10-15,390.0000,390.0000,386.0000,388.0000,3532200,1571072400000
2019-10-14,208.0000,214.0000,206.0000,206.0000,2092900,1570986000000
2019-10-11,398.0000,398.0000,386.0000,392.0000,3389700,1570726800000
2019-10-10,398.0000,402.0000,384.0000,390.0000,5319600,1570640400000
2019-10-09,404.0000,410.0000,398.0000,398.0000,1041200,1570554000000
2019-10-08,396.0000,408.0000,396.0000,404.0000,2947600,1570467600000
2019-10-07,408.0000,410.0000,394.0000,396.0000,3479100,1570381200000
2019-10-04,398.0000,408.0000,392.0000,408.0000,2015500,1570122000000
2019-10-03,390.0000,398.0000,380.0000,398.0000,3670300,1570035600000
